condition,artifact,level,patient_id,modality,mse,psnr
blur_L9,blur,9,BraTS20_Training_010,t1ce,0.016815392300486565,17.742929962084506
blur_L9,blur,9,BraTS20_Training_010,t2,0.02414640784263611,16.171474682315907
blur_L9,blur,9,BraTS20_Training_016,flair,0.007304156664758921,21.36429920316223
blur_L9,blur,9,BraTS20_Training_016,t1,0.01890450343489647,17.2343472577654
blur_L9,blur,9,BraTS20_Training_016,t1ce,0.013470027595758438,18.706315145462543
blur_L9,blur,9,BraTS20_Training_016,t2,0.019551221281290054,17.088261088993676
blur_L10,blur,10,BraTS20_Training_001,flair,0.012809067964553833,18.924824699881338
blur_L10,blur,10,BraTS20_Training_001,t1,0.025478538125753403,15.938254940027763
blur_L10,blur,10,BraTS20_Training_001,t1ce,0.018799738958477974,17.25848181038429
blur_L10,blur,10,BraTS20_Training_001,t2,0.016155635938048363,17.916759420753433
blur_L10,blur,10,BraTS20_Training_004,flair,0.0101985614746809,19.914610819308955
blur_L10,blur,10,BraTS20_Training_004,t1,0.02209021896123886,16.55799979321571
blur_L10,blur,10,BraTS20_Training_004,t1ce,0.017786547541618347,17.499083424800823
blur_L10,blur,10,BraTS20_Training_004,t2,0.017508188262581825,17.567587921388384
blur_L10,blur,10,BraTS20_Training_006,flair,0.012405877001583576,19.06372528974562
blur_L10,blur,10,BraTS20_Training_006,t1,0.02655067853629589,15.75924375493867
blur_L10,blur,10,BraTS20_Training_006,t1ce,0.020447909832000732,16.893510786014506
blur_L10,blur,10,BraTS20_Training_006,t2,0.021254604682326317,16.725469681318554
blur_L10,blur,10,BraTS20_Training_010,flair,0.028637131676077843,15.430704835581334
blur_L10,blur,10,BraTS20_Training_010,t1,0.023468883708119392,16.295075670240507
blur_L10,blur,10,BraTS20_Training_010,t1ce,0.017638709396123886,17.535331948644522
blur_L10,blur,10,BraTS20_Training_010,t2,0.025390245020389557,15.953331080869042
blur_L10,blur,10,BraTS20_Training_016,flair,0.008037335239350796,20.948879167581342
blur_L10,blur,10,BraTS20_Training_016,t1,0.020624762400984764,16.85611045858551
blur_L10,blur,10,BraTS20_Training_016,t1ce,0.014314599335193634,18.44220803349661
blur_L10,blur,10,BraTS20_Training_016,t2,0.020945848897099495,16.789020337818677
ghosting_L5,ghosting,5,BraTS20_Training_001,flair,0.014245213940739632,18.463310239545173
ghosting_L5,ghosting,5,BraTS20_Training_001,t1,0.030369238927960396,15.17566091635529
ghosting_L5,ghosting,5,BraTS20_Training_001,t1ce,0.01646851748228073,17.833454948341323
ghosting_L5,ghosting,5,BraTS20_Training_001,t2,0.014865432865917683,18.278224400720692
ghosting_L5,ghosting,5,BraTS20_Training_004,flair,0.010476749390363693,19.797734445290022
ghosting_L5,ghosting,5,BraTS20_Training_004,t1,0.025384128093719482,15.954377493596148
ghosting_L5,ghosting,5,BraTS20_Training_004,t1ce,0.015070670284330845,18.218674315398747
ghosting_L5,ghosting,5,BraTS20_Training_004,t2,0.01258135586977005,19.00272553244589
ghosting_L5,ghosting,5,BraTS20_Training_006,flair,0.01232982613146305,19.09043047546894
ghosting_L5,ghosting,5,BraTS20_Training_006,t1,0.029232779517769814,15.341298889928991
ghosting_L5,ghosting,5,BraTS20_Training_006,t1ce,0.020333265885710716,16.91792860307858
ghosting_L5,ghosting,5,BraTS20_Training_006,t2,0.013208447955548763,18.7914821069287
ghosting_L5,ghosting,5,BraTS20_Training_010,flair,0.02278687059879303,16.423153139155136
ghosting_L5,ghosting,5,BraTS20_Training_010,t1,0.025704486295580864,15.899910710898421
ghosting_L5,ghosting,5,BraTS20_Training_010,t1ce,0.013910808600485325,18.566476248230288
ghosting_L5,ghosting,5,BraTS20_Training_010,t2,0.01381657738238573,18.595995262842134
ghosting_L5,ghosting,5,BraTS20_Training_016,flair,0.012400737963616848,19.065524693546823
ghosting_L5,ghosting,5,BraTS20_Training_016,t1,0.02342408336699009,16.303373949523316
ghosting_L5,ghosting,5,BraTS20_Training_016,t1ce,0.010845248587429523,19.647604889322583
ghosting_L5,ghosting,5,BraTS20_Training_016,t2,0.01556952390819788,18.077246672779793
ghosting_L6,ghosting,6,BraTS20_Training_001,flair,0.019643675535917282,17.06777247933045
ghosting_L6,ghosting,6,BraTS20_Training_001,t1,0.042019497603178024,13.765491444448655
ghosting_L6,ghosting,6,BraTS20_Training_001,t1ce,0.022827932611107826,16.415334181743855
ghosting_L6,ghosting,6,BraTS20_Training_001,t2,0.020547084510326385,16.872497928100156
ghosting_L6,ghosting,6,BraTS20_Training_004,flair,0.014489195309579372,18.38955733391042
ghosting_L6,ghosting,6,BraTS20_Training_004,t1,0.03512364998459816,14.544003593432901
ghosting_L6,ghosting,6,BraTS20_Training_004,t1ce,0.02089143544435501,16.800317187489892
ghosting_L6,ghosting,6,BraTS20_Training_004,t2,0.017448002472519875,17.582542858863906
ghosting_L6,ghosting,6,BraTS20_Training_006,flair,0.017033616080880165,17.68693145503921
ghosting_L6,ghosting,6,BraTS20_Training_006,t1,0.04045463353395462,13.930317286133452
ghosting_L6,ghosting,6,BraTS20_Training_006,t1ce,0.028155384585261345,15.504385360865632
ghosting_L6,ghosting,6,BraTS20_Training_006,t2,0.018332570791244507,17.367766293004415
ghosting_L6,ghosting,6,BraTS20_Training_010,flair,0.031500209122896194,15.01686563016165
ghosting_L6,ghosting,6,BraTS20_Training_010,t1,0.03553558140993118,14.493365745212813
ghosting_L6,ghosting,6,BraTS20_Training_010,t1ce,0.01926128938794136,17.153146437262986
ghosting_L6,ghosting,6,BraTS20_Training_010,t2,0.019180329516530037,17.171439359567316
ghosting_L6,ghosting,6,BraTS20_Training_016,flair,0.017079969868063927,17.675128998147603
ghosting_L6,ghosting,6,BraTS20_Training_016,t1,0.03239678218960762,14.89498123950707
ghosting_L6,ghosting,6,BraTS20_Training_016,t1ce,0.015051997266709805,18.224058692156436
ghosting_L6,ghosting,6,BraTS20_Training_016,t2,0.021558333188295364,16.663848202528836
ghosting_L7,ghosting,7,BraTS20_Training_001,flair,0.026185154914855957,15.81944852411031
ghosting_L7,ghosting,7,BraTS20_Training_001,t1,0.056080251932144165,12.51190044034011
ghosting_L7,ghosting,7,BraTS20_Training_001,t1ce,0.030451910570263863,15.163854542924247
ghosting_L7,ghosting,7,BraTS20_Training_001,t2,0.027398698031902313,15.62270074077234
ghosting_L7,ghosting,7,BraTS20_Training_004,flair,0.019327620044350624,17.138216206346996
ghosting_L7,ghosting,7,BraTS20_Training_004,t1,0.04686906561255455,13.291137045415889
ghosting_L7,ghosting,7,BraTS20_Training_004,t1ce,0.02786868065595627,15.548835909350867
ghosting_L7,ghosting,7,BraTS20_Training_004,t2,0.023279819637537003,16.3302038874405
ghosting_L7,ghosting,7,BraTS20_Training_006,flair,0.022716108709573746,16.43666061636094
ghosting_L7,ghosting,7,BraTS20_Training_006,t1,0.053985271602869034,12.677247093264993
ghosting_L7,ghosting,7,BraTS20_Training_006,t1ce,0.03756724298000336,14.251906761771371
ghosting_L7,ghosting,7,BraTS20_Training_006,t2,0.024448564276099205,16.117466394146092
ghosting_L7,ghosting,7,BraTS20_Training_010,flair,0.04198822006583214,13.768725352685042
ghosting_L7,ghosting,7,BraTS20_Training_010,t1,0.04740876331925392,13.241413733169615
ghosting_L7,ghosting,7,BraTS20_Training_010,t1ce,0.02567930705845356,15.904166996355137
ghosting_L7,ghosting,7,BraTS20_Training_010,t2,0.025569207966327667,15.922827245032238
ghosting_L7,ghosting,7,BraTS20_Training_016,flair,0.022772641852498055,16.425865839914533
ghosting_L7,ghosting,7,BraTS20_Training_016,t1,0.04321959614753723,13.643192955674357
ghosting_L7,ghosting,7,BraTS20_Training_016,t1ce,0.02007390186190605,16.973682033772562
ghosting_L7,ghosting,7,BraTS20_Training_016,t2,0.02874143049120903,15.414916203709655
ghosting_L8,ghosting,8,BraTS20_Training_001,flair,0.033678777515888214,14.726436810601427
ghosting_L8,ghosting,8,BraTS20_Training_001,t1,0.07218936830759048,11.415267584599388
ghosting_L8,ghosting,8,BraTS20_Training_001,t1ce,0.03919527307152748,14.067663054982935
ghosting_L8,ghosting,8,BraTS20_Training_001,t2,0.03525492548942566,14.527801988586017
ghosting_L8,ghosting,8,BraTS20_Training_004,flair,0.024871522560715675,16.042976276984113
ghosting_L8,ghosting,8,BraTS20_Training_004,t1,0.06033072620630264,12.194614470109322
ghosting_L8,ghosting,8,BraTS20_Training_004,t1ce,0.03586646169424057,14.45311465321856
ghosting_L8,ghosting,8,BraTS20_Training_004,t2,0.029959652572870255,15.234632272395999
ghosting_L8,ghosting,8,BraTS20_Training_006,flair,0.029229681938886642,15.341759103674343
ghosting_L8,ghosting,8,BraTS20_Training_006,t1,0.06949621438980103,11.58038851732149
ghosting_L8,ghosting,8,BraTS20_Training_006,t1ce,0.04835570231080055,13.155523047021715
ghosting_L8,ghosting,8,BraTS20_Training_006,t2,0.03146430850028992,15.021818084201774
ghosting_L8,ghosting,8,BraTS20_Training_010,flair,0.054009053856134415,12.675334307295278
ghosting_L8,ghosting,8,BraTS20_Training_010,t1,0.06101101636886597,12.145917401327818
ghosting_L8,ghosting,8,BraTS20_Training_010,t1ce,0.03303809463977814,14.809850070929144
ghosting_L8,ghosting,8,BraTS20_Training_010,t2,0.032892197370529175,14.829071124091513
ghosting_L8,ghosting,8,BraTS20_Training_016,flair,0.02929237298667431,15.332454445262023
ghosting_L8,ghosting,8,BraTS20_Training_016,t1,0.05562876537442207,12.54700578689871
ghosting_L8,ghosting,8,BraTS20_Training_016,t1ce,0.02584013156592846,15.87705279445867
ghosting_L8,ghosting,8,BraTS20_Training_016,t2,0.036984123289585114,14.31984671811559
ghosting_L9,ghosting,9,BraTS20_Training_001,flair,0.03784732520580292,14.219648080901383
ghosting_L9,ghosting,9,BraTS20_Training_001,t1,0.08120353519916534,10.904250633195463
ghosting_L9,ghosting,9,BraTS20_Training_001,t1ce,0.044091034680604935,13.556497095019896
ghosting_L9,ghosting,9,BraTS20_Training_001,t2,0.039635106921195984,14.019199658994255
ghosting_L9,ghosting,9,BraTS20_Training_004,flair,0.027964267879724503,15.533965462609194
ghosting_L9,ghosting,9,BraTS20_Training_004,t1,0.06785909086465836,11.683919630685464
ghosting_L9,ghosting,9,BraTS20_Training_004,t1ce,0.04033378139138222,13.94331059905922
ghosting_L9,ghosting,9,BraTS20_Training_004,t2,0.03369450196623802,14.724409584913625
ghosting_L9,ghosting,9,BraTS20_Training_006,flair,0.03284914046525955,14.83475989759559
ghosting_L9,ghosting,9,BraTS20_Training_006,t1,0.07816299796104431,11.069987914979711
ghosting_L9,ghosting,9,BraTS20_Training_006,t1ce,0.05438212677836418,12.645438120106274
ghosting_L9,ghosting,9,BraTS20_Training_006,t2,0.035372521728277206,14.513339779676357
ghosting_L9,ghosting,9,BraTS20_Training_010,flair,0.06067640706896782,12.16980143711266
ghosting_L9,ghosting,9,BraTS20_Training_010,t1,0.06859181076288223,11.637277320015876
ghosting_L9,ghosting,9,BraTS20_Training_010,t1ce,0.03712857514619827,14.30291717028007
ghosting_L9,ghosting,9,BraTS20_Training_010,t2,0.03696057200431824,14.32261316229075
ghosting_L9,ghosting,9,BraTS20_Training_016,flair,0.03291298449039459,14.826327348754315
ghosting_L9,ghosting,9,BraTS20_Training_016,t1,0.06255678832530975,12.037255561182846
ghosting_L9,ghosting,9,BraTS20_Training_016,t1ce,0.029057588428258896,15.36740431874171
ghosting_L9,ghosting,9,BraTS20_Training_016,t2,0.041568998247385025,13.812304412353049
ghosting_L10,ghosting,10,BraTS20_Training_001,flair,0.042072415351867676,13.76002554684289
ghosting_L10,ghosting,10,BraTS20_Training_001,t1,0.09027229994535446,10.444454925036815
ghosting_L10,ghosting,10,BraTS20_Training_001,t1ce,0.04900174215435982,13.097884792658716
ghosting_L10,ghosting,10,BraTS20_Training_001,t2,0.04404393956065178,13.561138419952021
ghosting_L10,ghosting,10,BraTS20_Training_004,flair,0.03108026273548603,15.075153185683728
ghosting_L10,ghosting,10,BraTS20_Training_004,t1,0.07543276995420456,11.224399443357761
ghosting_L10,ghosting,10,BraTS20_Training_004,t1ce,0.044831376522779465,13.484179261560811
ghosting_L10,ghosting,10,BraTS20_Training_004,t2,0.03742904216051102,14.267912866907412
ghosting_L10,ghosting,10,BraTS20_Training_006,flair,0.036522276699543,14.374421575553294
ghosting_L10,ghosting,10,BraTS20_Training_006,t1,0.08687475323677063,10.611064159910217
ghosting_L10,ghosting,10,BraTS20_Training_006,t1ce,0.06044108420610428,12.186677537885869
ghosting_L10,ghosting,10,BraTS20_Training_006,t2,0.03929135203361511,14.057030266568706
ghosting_L10,ghosting,10,BraTS20_Training_010,flair,0.06745602935552597,11.709792261431996
ghosting_L10,ghosting,10,BraTS20_Training_010,t1,0.07627464830875397,11.17619786149267
ghosting_L10,ghosting,10,BraTS20_Training_010,t1ce,0.04128533974289894,13.842041371826586
ghosting_L10,ghosting,10,BraTS20_Training_010,t2,0.04107079654932022,13.864668741217635
ghosting_L10,ghosting,10,BraTS20_Training_016,flair,0.036615822464227676,14.36331206299382
ghosting_L10,ghosting,10,BraTS20_Training_016,t1,0.06953966617584229,11.577673984721104
ghosting_L10,ghosting,10,BraTS20_Training_016,t1ce,0.03228642791509628,14.909800015166663
ghosting_L10,ghosting,10,BraTS20_Training_016,t2,0.046189021319150925,13.35461239749453
