condition,artifact,level,patient_id,modality,mse,psnr
contrast_L7,contrast,7,BraTS20_Training_010,t1,0.036076027899980545,14.427812858774418
contrast_L7,contrast,7,BraTS20_Training_010,t1ce,0.02332749404013157,16.321319128563697
contrast_L7,contrast,7,BraTS20_Training_010,t2,0.05214918777346611,12.827524513457673
contrast_L7,contrast,7,BraTS20_Training_016,flair,0.029034076258540154,15.370919868237173
contrast_L7,contrast,7,BraTS20_Training_016,t1,0.03169141709804535,14.990583406739661
contrast_L7,contrast,7,BraTS20_Training_016,t1ce,0.04034595564007759,13.941999933143741
contrast_L7,contrast,7,BraTS20_Training_016,t2,0.04167470335960388,13.801274827955934
contrast_L8,contrast,8,BraTS20_Training_001,flair,0.044167518615722656,13.54896999242185
contrast_L8,contrast,8,BraTS20_Training_001,t1,0.04682076722383499,13.295614740578499
contrast_L8,contrast,8,BraTS20_Training_001,t1ce,0.027741726487874985,15.568665143937752
contrast_L8,contrast,8,BraTS20_Training_001,t2,0.07323256880044937,11.352957317201252
contrast_L8,contrast,8,BraTS20_Training_004,flair,0.05244462192058563,12.802990411209036
contrast_L8,contrast,8,BraTS20_Training_004,t1,0.03784390911459923,14.220040091832045
contrast_L8,contrast,8,BraTS20_Training_004,t1ce,0.025514323264360428,15.932159462990882
contrast_L8,contrast,8,BraTS20_Training_004,t2,0.07532470673322678,11.230625505193817
contrast_L8,contrast,8,BraTS20_Training_006,flair,0.043328773230314255,13.632236069925657
contrast_L8,contrast,8,BraTS20_Training_006,t1,0.04294696822762489,13.670674890733984
contrast_L8,contrast,8,BraTS20_Training_006,t1ce,0.023364869877696037,16.314366332810522
contrast_L8,contrast,8,BraTS20_Training_006,t2,0.07681577652692795,11.145495748260554
contrast_L8,contrast,8,BraTS20_Training_010,flair,0.024222558364272118,16.157799889878383
contrast_L8,contrast,8,BraTS20_Training_010,t1,0.04044511914253235,13.931338809086418
contrast_L8,contrast,8,BraTS20_Training_010,t1ce,0.026152504608035088,15.824867127102307
contrast_L8,contrast,8,BraTS20_Training_010,t2,0.05846492201089859,12.331046253078505
contrast_L8,contrast,8,BraTS20_Training_016,flair,0.03255026787519455,14.874454330177516
contrast_L8,contrast,8,BraTS20_Training_016,t1,0.03552936390042305,14.494125678275635
contrast_L8,contrast,8,BraTS20_Training_016,t1ce,0.04523212090134621,13.445530480233446
contrast_L8,contrast,8,BraTS20_Training_016,t2,0.04672172665596008,13.304811157394251
contrast_L9,contrast,9,BraTS20_Training_001,flair,0.04921133071184158,13.079348911537668
contrast_L9,contrast,9,BraTS20_Training_001,t1,0.052167635411024094,12.82598847985647
contrast_L9,contrast,9,BraTS20_Training_001,t1ce,0.030909737572073936,15.099046821409656
contrast_L9,contrast,9,BraTS20_Training_001,t2,0.08159559220075607,10.883333012288947
contrast_L9,contrast,9,BraTS20_Training_004,flair,0.05843370780348778,12.333365554575742
contrast_L9,contrast,9,BraTS20_Training_004,t1,0.042165596038103104,13.750417562587415
contrast_L9,contrast,9,BraTS20_Training_004,t1ce,0.028427857905626297,15.46255864010412
contrast_L9,contrast,9,BraTS20_Training_004,t2,0.0839264839887619,10.761009708135507
contrast_L9,contrast,9,BraTS20_Training_006,flair,0.048276837915182114,13.162611834993124
contrast_L9,contrast,9,BraTS20_Training_006,t1,0.04785136133432388,13.201057023683303
contrast_L9,contrast,9,BraTS20_Training_006,t1ce,0.026033079251646996,15.844744595163501
contrast_L9,contrast,9,BraTS20_Training_006,t2,0.08558788895606995,10.675876854591824
contrast_L9,contrast,9,BraTS20_Training_010,flair,0.026988741010427475,15.688173742421876
contrast_L9,contrast,9,BraTS20_Training_010,t1,0.0450638085603714,13.461721067343362
contrast_L9,contrast,9,BraTS20_Training_010,t1ce,0.029139012098312378,15.355251762284997
contrast_L9,contrast,9,BraTS20_Training_010,t2,0.0651412084698677,11.861441888640712
contrast_L9,contrast,9,BraTS20_Training_016,flair,0.0362674742937088,14.404826881057788
contrast_L9,contrast,9,BraTS20_Training_016,t1,0.039586715400218964,14.024505311535247
contrast_L9,contrast,9,BraTS20_Training_016,t1ce,0.050397563725709915,12.975904573253892
contrast_L9,contrast,9,BraTS20_Training_016,t2,0.05205722153186798,12.835190153581584
noise_L10,noise,10,BraTS20_Training_001,flair,0.12277370691299438,9.10894631283172
noise_L10,noise,10,BraTS20_Training_001,t1,0.1230078935623169,9.100670184747415
noise_L10,noise,10,BraTS20_Training_001,t1ce,0.12508520483970642,9.027940559058047
noise_L10,noise,10,BraTS20_Training_001,t2,0.11964546144008636,9.221037710071718
noise_L10,noise,10,BraTS20_Training_004,flair,0.12148698419332504,9.154702487801812
noise_L10,noise,10,BraTS20_Training_004,t1,0.12389717996120453,9.069385785410116
noise_L10,noise,10,BraTS20_Training_004,t1ce,0.12515275180339813,9.025595968756349
noise_L10,noise,10,BraTS20_Training_004,t2,0.11909479647874832,9.241072134117193
noise_L10,noise,10,BraTS20_Training_006,flair,0.12267639487981796,9.112389952165083
noise_L10,noise,10,BraTS20_Training_006,t1,0.12307985872030258,9.098130109379706
noise_L10,noise,10,BraTS20_Training_006,t1ce,0.12574197351932526,9.00519727683725
noise_L10,noise,10,BraTS20_Training_006,t2,0.11927338689565659,9.234564483138058
noise_L10,noise,10,BraTS20_Training_010,flair,0.12555807828903198,9.011553399523713
noise_L10,noise,10,BraTS20_Training_010,t1,0.12377677112817764,9.07360850609962
noise_L10,noise,10,BraTS20_Training_010,t1ce,0.12517035007476807,9.02498533137592
noise_L10,noise,10,BraTS20_Training_010,t2,0.12072668969631195,9.181967074794981
noise_L10,noise,10,BraTS20_Training_016,flair,0.12449605762958527,9.048444009925458
noise_L10,noise,10,BraTS20_Training_016,t1,0.12439794838428497,9.051867821269637
noise_L10,noise,10,BraTS20_Training_016,t1ce,0.12246810644865036,9.119769969875287
noise_L10,noise,10,BraTS20_Training_016,t2,0.12187058478593826,9.141011049372004
noise_L6,noise,6,BraTS20_Training_001,flair,0.0205064807087183,16.881088662005247
noise_L6,noise,6,BraTS20_Training_001,t1,0.020105483010411263,16.966854890253042
noise_L6,noise,6,BraTS20_Training_001,t1ce,0.02130255103111267,16.715683856506523
noise_L6,noise,6,BraTS20_Training_001,t2,0.018673202022910118,17.287812041910236
noise_L6,noise,6,BraTS20_Training_004,flair,0.020182296633720398,16.950294149772354
noise_L6,noise,6,BraTS20_Training_004,t1,0.02076234109699726,16.82723678367705
noise_L6,noise,6,BraTS20_Training_004,t1ce,0.021441055461764336,16.6875383978441
noise_L6,noise,6,BraTS20_Training_004,t2,0.018538527190685272,17.31924771721495
noise_L6,noise,6,BraTS20_Training_006,flair,0.020656060427427292,16.84952504586764
noise_L6,noise,6,BraTS20_Training_006,t1,0.020445363596081734,16.89405161638487
noise_L6,noise,6,BraTS20_Training_006,t1ce,0.02142323926091194,16.69114861852512
noise_L6,noise,6,BraTS20_Training_006,t2,0.018406260758638382,17.35034429683383
noise_L6,noise,6,BraTS20_Training_010,flair,0.021459484472870827,16.683807154211742
noise_L6,noise,6,BraTS20_Training_010,t1,0.020545898005366325,16.872748721557095
noise_L6,noise,6,BraTS20_Training_010,t1ce,0.021442217752337456,16.687302979069106
noise_L6,noise,6,BraTS20_Training_010,t2,0.01968475431203842,17.058700013254587
noise_L6,noise,6,BraTS20_Training_016,flair,0.021152708679437637,16.74634011777782
noise_L6,noise,6,BraTS20_Training_016,t1,0.020873572677373886,16.80403211630391
noise_L6,noise,6,BraTS20_Training_016,t1ce,0.020542025566101074,16.87356734604001
noise_L6,noise,6,BraTS20_Training_016,t2,0.02043011412024498,16.897292074422346
noise_L7,noise,7,BraTS20_Training_001,flair,0.034190475940704346,14.660948536642726
noise_L7,noise,7,BraTS20_Training_001,t1,0.03383630886673927,14.706170193398705
noise_L7,noise,7,BraTS20_Training_001,t1ce,0.03609258681535721,14.42581990221596
noise_L7,noise,7,BraTS20_Training_001,t2,0.030660565942525864,15.134198330613028
noise_L7,noise,7,BraTS20_Training_004,flair,0.03311896324157715,14.799232668602704
noise_L7,noise,7,BraTS20_Training_004,t1,0.034872572869062424,14.575160095607693
noise_L7,noise,7,BraTS20_Training_004,t1ce,0.036276210099458694,14.4037809148149
noise_L7,noise,7,BraTS20_Training_004,t2,0.030366113409399986,15.176107903295462
noise_L7,noise,7,BraTS20_Training_006,flair,0.03436048701405525,14.639406892523821
noise_L7,noise,7,BraTS20_Training_006,t1,0.03425705060362816,14.652500307957315
noise_L7,noise,7,BraTS20_Training_006,t1ce,0.03657706454396248,14.367911513340033
noise_L7,noise,7,BraTS20_Training_006,t2,0.030202502384781837,15.199570727090862
noise_L7,noise,7,BraTS20_Training_010,flair,0.03646095469594002,14.381719639380258
noise_L7,noise,7,BraTS20_Training_010,t1,0.034558072686195374,14.614504862478402
noise_L7,noise,7,BraTS20_Training_010,t1ce,0.036276139318943024,14.4037893885825
noise_L7,noise,7,BraTS20_Training_010,t2,0.032310668379068375,14.906540580659557
noise_L7,noise,7,BraTS20_Training_016,flair,0.03556276485323906,14.490044818461776
noise_L7,noise,7,BraTS20_Training_016,t1,0.035099804401397705,14.546953036945842
noise_L7,noise,7,BraTS20_Training_016,t1ce,0.034001097083091736,14.685070697387408
noise_L7,noise,7,BraTS20_Training_016,t2,0.03381970524787903,14.708301817701365
noise_L8,noise,8,BraTS20_Training_001,flair,0.06517580896615982,11.859135696362904
noise_L8,noise,8,BraTS20_Training_001,t1,0.06525857001543045,11.853624469626695
noise_L8,noise,8,BraTS20_Training_001,t1ce,0.06911850720643997,11.604056501444218
noise_L8,noise,8,BraTS20_Training_001,t2,0.05950937792658806,12.254145895514078
noise_L8,noise,8,BraTS20_Training_004,flair,0.0631517842411995,11.996143747181405
noise_L8,noise,8,BraTS20_Training_004,t1,0.06700149923563004,11.739154793517635
noise_L8,noise,8,BraTS20_Training_004,t1ce,0.06940903514623642,11.585839926755517
noise_L8,noise,8,BraTS20_Training_004,t2,0.059015482664108276,12.290340366038288
noise_L8,noise,8,BraTS20_Training_006,flair,0.06533155590295792,11.848769987515217
noise_L8,noise,8,BraTS20_Training_006,t1,0.06577444821596146,11.819427865378627
noise_L8,noise,8,BraTS20_Training_006,t1ce,0.07017630338668823,11.538095124535548
noise_L8,noise,8,BraTS20_Training_006,t2,0.05865750461816788,12.316764165278396
noise_L8,noise,8,BraTS20_Training_010,flair,0.06991776078939438,11.554124890175624
noise_L8,noise,8,BraTS20_Training_010,t1,0.06645112484693527,11.774976631684682
noise_L8,noise,8,BraTS20_Training_010,t1ce,0.06923692673444748,11.596622176870625
noise_L8,noise,8,BraTS20_Training_010,t2,0.06184844300150871,12.086712290076083
noise_L8,noise,8,BraTS20_Training_016,flair,0.06799919903278351,11.674962028480431
noise_L8,noise,8,BraTS20_Training_016,t1,0.06734374165534973,11.717027576371441
noise_L8,noise,8,BraTS20_Training_016,t1ce,0.06496778130531311,11.873019644384575
noise_L8,noise,8,BraTS20_Training_016,t2,0.06444770097732544,11.907925704854403
noise_L9,noise,9,BraTS20_Training_001,flair,0.09580191969871521,10.186257883514575
noise_L9,noise,9,BraTS20_Training_001,t1,0.09627974778413773,10.16465056079815
noise_L9,noise,9,BraTS20_Training_001,t1ce,0.0997745618224144,10.009801708205654
noise_L9,noise,9,BraTS20_Training_001,t2,0.09080694615840912,10.418809294206977
noise_L9,noise,9,BraTS20_Training_004,flair,0.09382006525993347,10.277042692995497
noise_L9,noise,9,BraTS20_Training_004,t1,0.09770147502422333,10.100988795765673
noise_L9,noise,9,BraTS20_Training_004,t1ce,0.09998583048582077,10.000615417783813
noise_L9,noise,9,BraTS20_Training_004,t2,0.09003666043281555,10.455806218734004
noise_L9,noise,9,BraTS20_Training_006,flair,0.09632649272680283,10.1625425220346
noise_L9,noise,9,BraTS20_Training_006,t1,0.09666705876588821,10.147214952395036
noise_L9,noise,9,BraTS20_Training_006,t1ce,0.10092686861753464,9.959932010677946
noise_L9,noise,9,BraTS20_Training_006,t2,0.0899563878774643,10.45967991613242
noise_L9,noise,9,BraTS20_Training_010,flair,0.1005246639251709,9.977273701592743
noise_L9,noise,9,BraTS20_Training_010,t1,0.09719878435134888,10.123391666869209
noise_L9,noise,9,BraTS20_Training_010,t1ce,0.09989939630031586,10.00437136240822
noise_L9,noise,9,BraTS20_Training_010,t2,0.09264644980430603,10.331712181145445
noise_L9,noise,9,BraTS20_Training_016,flair,0.098458431661129,10.067470863607664
noise_L9,noise,9,BraTS20_Training_016,t1,0.09822613000869751,10.077729662960602
noise_L9,noise,9,BraTS20_Training_016,t1ce,0.09557519853115082,10.196547911808283
noise_L9,noise,9,BraTS20_Training_016,t2,0.09510257840156555,10.218077084002072
ringing_L10,ringing,10,BraTS20_Training_001,flair,0.018241247162222862,17.389454720846274
